protid,Entry
AF-Q8QFW3-F1-model_v4,Q8QFW3
AF-P0C1B8-F1-model_v4,P0C1B8
AF-P0DQJ0-F1-model_v4,P0DQJ0
AF-A0A330KW27-F1-model_v4,A0A330KW27
AF-P56676-F1-model_v4,P56676
AF-P01394-F1-model_v4,P01394
AF-P86120-F1-model_v4,P86120
AF-P0C2L8-F1-model_v4,P0C2L8
AF-P0DJG3-F1-model_v4,P0DJG3
AF-P0DJN8-F1-model_v4,P0DJN8
AF-Q7T3L1-F1-model_v4,Q7T3L1
AF-Q9PRP7-F1-model_v4,Q9PRP7
AF-P82140-F1-model_v4,P82140
AF-P45668-F1-model_v4,P45668
AF-P59265-F1-model_v4,P59265
AF-P0DKP6-F1-model_v4,P0DKP6
AF-B8XH22-F1-model_v4,B8XH22
AF-P60302-F1-model_v4,P60302
AF-E5AJX3-F1-model_v4,E5AJX3
AF-Q75WH5-F1-model_v4,Q75WH5
AF-P0DSI4-F1-model_v4,P0DSI4
AF-P0DPT0-F1-model_v4,P0DPT0
AF-Q0GY40-F1-model_v4,Q0GY40
AF-Q56JA9-F1-model_v4,Q56JA9
AF-P0DKP8-F1-model_v4,P0DKP8
AF-Q7T2R1-F1-model_v4,Q7T2R1
AF-A8YPR9-F1-model_v4,A8YPR9
AF-P04057-F1-model_v4,P04057
AF-P45666-F1-model_v4,P45666
AF-Q9PSN7-F1-model_v4,Q9PSN7
AF-P0DQC5-F1-model_v4,P0DQC5
AF-P0CJ00-F1-model_v4,P0CJ00
AF-P0C1X7-F1-model_v4,P0C1X7
AF-P0DJN6-F1-model_v4,P0DJN6
AF-P21792-F1-model_v4,P21792
AF-P0C2L6-F1-model_v4,P0C2L6
AF-B6DD14-F1-model_v4,B6DD14
AF-P0C1B6-F1-model_v4,P0C1B6
AF-P56678-F1-model_v4,P56678
AF-E0Y419-F1-model_v4,E0Y419
AF-A0A5J6K6K4-F1-model_v4,A0A5J6K6K4
AF-P0DSJ7-F1-model_v4,P0DSJ7
AF-Q8JFG0-F1-model_v4,Q8JFG0
AF-I6S7I0-F1-model_v4,I6S7I0
AF-P61233-F1-model_v4,P61233
AF-P25680-F1-model_v4,P25680
AF-A7X3Y2-F1-model_v4,A7X3Y2
AF-Q3SAF1-F1-model_v4,Q3SAF1
AF-B3EWY2-F1-model_v4,B3EWY2
AF-P85021-F1-model_v4,P85021
AF-C5J886-F1-model_v4,C5J886
AF-P0C1H0-F1-model_v4,P0C1H0
AF-A0A0F7YZI5-F1-model_v4,A0A0F7YZI5
AF-P0CI46-F1-model_v4,P0CI46
AF-B6DD29-F1-model_v4,B6DD29
AF-C0HKG4-F1-model_v4,C0HKG4
AF-Q3C257-F1-model_v4,Q3C257
AF-A3DT44-F1-model_v4,A3DT44
AF-D2Y207-F1-model_v4,D2Y207
AF-Q8MTX1-F1-model_v4,Q8MTX1
AF-Q5Y4X6-F1-model_v4,Q5Y4X6
AF-J3SBP3-F1-model_v4,J3SBP3
AF-P82422-F1-model_v4,P82422
AF-M1J7U4-F1-model_v4,M1J7U4
AF-B1B5I9-F1-model_v4,B1B5I9
AF-Q86QV5-F1-model_v4,Q86QV5
AF-I6S3A5-F1-model_v4,I6S3A5
AF-B6DCQ6-F1-model_v4,B6DCQ6
AF-Q98958-F1-model_v4,Q98958
AF-P0DM45-F1-model_v4,P0DM45
AF-A0A7S8MU86-F1-model_v4,A0A7S8MU86
AF-P83974-F1-model_v4,P83974
AF-C0HLA1-F1-model_v4,C0HLA1
AF-P0DMB5-F1-model_v4,P0DMB5
AF-D1MEJ1-F1-model_v4,D1MEJ1
AF-C0JB21-F1-model_v4,C0JB21
AF-Q9BPE0-F1-model_v4,Q9BPE0
AF-P0DUA6-F1-model_v4,P0DUA6
AF-P58605-F1-model_v4,P58605
AF-P84646-F1-model_v4,P84646
AF-Q9DF33-F1-model_v4,Q9DF33
AF-P00620-F1-model_v4,P00620
AF-P0DMX4-F1-model_v4,P0DMX4
AF-A0A125S9E6-F1-model_v4,A0A125S9E6
AF-P01459-F1-model_v4,P01459
AF-D2Y2F7-F1-model_v4,D2Y2F7
AF-B1P1G6-F1-model_v4,B1P1G6
AF-Q9BP96-F1-model_v4,Q9BP96
AF-P0DN03-F1-model_v4,P0DN03
AF-P81656-F1-model_v4,P81656
AF-A5A3H4-F1-model_v4,A5A3H4
AF-Q7Z094-F1-model_v4,Q7Z094
AF-Q86QU8-F1-model_v4,Q86QU8
AF-V9QFG9-F1-model_v4,V9QFG9
AF-J3RZ81-F1-model_v4,J3RZ81
AF-Q98965-F1-model_v4,Q98965
AF-Q072L7-F1-model_v4,Q072L7
AF-C0JAZ6-F1-model_v4,C0JAZ6
AF-Q2XXQ4-F1-model_v4,Q2XXQ4
AF-P11407-F1-model_v4,P11407
AF-D6C4L7-F1-model_v4,D6C4L7
AF-O42207-F1-model_v4,O42207
AF-P0DL37-F1-model_v4,P0DL37
AF-P86530-F1-model_v4,P86530
AF-P01464-F1-model_v4,P01464
AF-C0JB87-F1-model_v4,C0JB87
AF-P58917-F1-model_v4,P58917
AF-P0DMH3-F1-model_v4,P0DMH3
AF-P81782-F1-model_v4,P81782
AF-B6DD53-F1-model_v4,B6DD53
AF-Q805F5-F1-model_v4,Q805F5
AF-P86169-F1-model_v4,P86169
AF-B5G6G8-F1-model_v4,B5G6G8
AF-B3EWW3-F1-model_v4,B3EWW3
AF-P0DQN9-F1-model_v4,P0DQN9
AF-E2DIH5-F1-model_v4,E2DIH5
AF-P0C1F1-F1-model_v4,P0C1F1
AF-Q9XZK5-F1-model_v4,Q9XZK5
AF-P43445-F1-model_v4,P43445
AF-Q10754-F1-model_v4,Q10754
AF-P0DQG2-F1-model_v4,P0DQG2
AF-P83370-F1-model_v4,P83370
AF-P59018-F1-model_v4,P59018
AF-P0DJJ1-F1-model_v4,P0DJJ1
AF-Q4JCS1-F1-model_v4,Q4JCS1
AF-P0DPJ6-F1-model_v4,P0DPJ6
AF-P23631-F1-model_v4,P23631
AF-P84016-F1-model_v4,P84016
AF-Q8AY51-F1-model_v4,Q8AY51
AF-P20798-F1-model_v4,P20798
AF-P0CH73-F1-model_v4,P0CH73
AF-P16338-F1-model_v4,P16338
AF-P80076-F1-model_v4,P80076
AF-Q8QG89-F1-model_v4,Q8QG89
AF-Q1ZY03-F1-model_v4,Q1ZY03
AF-P57672-F1-model_v4,P57672
AF-C0HKC3-F1-model_v4,C0HKC3
AF-E5D3Z8-F1-model_v4,E5D3Z8
AF-F8S108-F1-model_v4,F8S108
AF-P85066-F1-model_v4,P85066
AF-Q91516-F1-model_v4,Q91516
AF-Q2L6Z1-F1-model_v4,Q2L6Z1
AF-Q5YD77-F1-model_v4,Q5YD77
AF-P0C247-F1-model_v4,P0C247
AF-P0DPZ1-F1-model_v4,P0DPZ1
AF-Q8JIR2-F1-model_v4,Q8JIR2
AF-Q7YT83-F1-model_v4,Q7YT83
AF-P0DSN0-F1-model_v4,P0DSN0
AF-P0DI87-F1-model_v4,P0DI87
AF-A0A6B9KZ30-F1-model_v4,A0A6B9KZ30
AF-P69501-F1-model_v4,P69501
AF-A0A1D3IY23-F1-model_v4,A0A1D3IY23
AF-Q3YEH3-F1-model_v4,Q3YEH3
AF-P0DJ67-F1-model_v4,P0DJ67
AF-P49272-F1-model_v4,P49272
AF-A7LCJ2-F1-model_v4,A7LCJ2
AF-Q7T1R0-F1-model_v4,Q7T1R0
AF-Q01747-F1-model_v4,Q01747
AF-Q7Z0A5-F1-model_v4,Q7Z0A5
AF-B0L0Y6-F1-model_v4,B0L0Y6
AF-Q1A3R3-F1-model_v4,Q1A3R3
AF-C8YJ96-F1-model_v4,C8YJ96
AF-A0A6M6R9M4-F1-model_v4,A0A6M6R9M4
AF-P0CY78-F1-model_v4,P0CY78
AF-B1P1C1-F1-model_v4,B1P1C1
AF-D2Y2B0-F1-model_v4,D2Y2B0
AF-P60993-F1-model_v4,P60993
AF-D9U2B3-F1-model_v4,D9U2B3
AF-P01485-F1-model_v4,P01485
AF-Q9BPA7-F1-model_v4,Q9BPA7
AF-P0DMF2-F1-model_v4,P0DMF2
AF-Q8MMH0-F1-model_v4,Q8MMH0
AF-Q9YGJ7-F1-model_v4,Q9YGJ7
AF-P24294-F1-model_v4,P24294
AF-W4VSB7-F1-model_v4,W4VSB7
AF-P23026-F1-model_v4,P23026
AF-O46166-F1-model_v4,O46166
AF-B6DCU1-F1-model_v4,B6DCU1
AF-P0C8V3-F1-model_v4,P0C8V3
AF-Q6PTD6-F1-model_v4,Q6PTD6
AF-Q9BP77-F1-model_v4,Q9BP77
AF-P86405-F1-model_v4,P86405
AF-D5KXH2-F1-model_v4,D5KXH2
AF-P0DM99-F1-model_v4,P0DM99
AF-P0C8L2-F1-model_v4,P0C8L2
AF-D2Y240-F1-model_v4,D2Y240
AF-P82465-F1-model_v4,P82465
AF-P58504-F1-model_v4,P58504
AF-I6S394-F1-model_v4,I6S394
AF-P0DL70-F1-model_v4,P0DL70
AF-B3FIQ7-F1-model_v4,B3FIQ7
AF-A0A6G9KHD3-F1-model_v4,A0A6G9KHD3
AF-P01423-F1-model_v4,P01423
AF-A8Y7P5-F1-model_v4,A8Y7P5
AF-Q91135-F1-model_v4,Q91135
AF-D2Y2H6-F1-model_v4,D2Y2H6
AF-Q5K0B9-F1-model_v4,Q5K0B9
AF-B1P1I7-F1-model_v4,B1P1I7
AF-A0A4Y5X1A7-F1-model_v4,A0A4Y5X1A7
AF-P29425-F1-model_v4,P29425
AF-P20252-F1-model_v4,P20252
AF-Q71QH6-F1-model_v4,Q71QH6
AF-Q800C4-F1-model_v4,Q800C4
AF-P0DTX2-F1-model_v4,P0DTX2
AF-Q9BH79-F1-model_v4,Q9BH79
AF-Q5Y4V7-F1-model_v4,Q5Y4V7
AF-P08380-F1-model_v4,P08380
AF-Q53B59-F1-model_v4,Q53B59
AF-P83621-F1-model_v4,P83621
AF-A7X4K7-F1-model_v4,A7X4K7
AF-P0DN44-F1-model_v4,P0DN44
AF-Q66S13-F1-model_v4,Q66S13
AF-D2Y259-F1-model_v4,D2Y259
AF-B6DCN9-F1-model_v4,B6DCN9
AF-P61508-F1-model_v4,P61508
AF-P0DN60-F1-model_v4,P0DN60
AF-P59939-F1-model_v4,P59939
AF-A4VBF0-F1-model_v4,A4VBF0
AF-B0FXM1-F1-model_v4,B0FXM1
AF-A6MFL4-F1-model_v4,A6MFL4
AF-P60771-F1-model_v4,P60771
AF-A0A023W0V9-F1-model_v4,A0A023W0V9
AF-B5U6Y7-F1-model_v4,B5U6Y7
AF-P0C640-F1-model_v4,P0C640
AF-B6DCT8-F1-model_v4,B6DCT8
AF-Q9PTT0-F1-model_v4,Q9PTT0
AF-C8YJG4-F1-model_v4,C8YJG4
AF-P0DTZ6-F1-model_v4,P0DTZ6
AF-Q9I847-F1-model_v4,Q9I847
AF-D6C4J4-F1-model_v4,D6C4J4
AF-Q6EER4-F1-model_v4,Q6EER4
AF-D2Y2J2-F1-model_v4,D2Y2J2
AF-Q71QJ2-F1-model_v4,Q71QJ2
AF-A0A2I6EDL2-F1-model_v4,A0A2I6EDL2
AF-P0DMT1-F1-model_v4,P0DMT1
AF-P0C6B0-F1-model_v4,P0C6B0
AF-P0DL54-F1-model_v4,P0DL54
AF-B2CI27-F1-model_v4,B2CI27
AF-D2Y2P3-F1-model_v4,D2Y2P3
AF-B4XSY6-F1-model_v4,B4XSY6
AF-P01407-F1-model_v4,P01407
AF-P86907-F1-model_v4,P86907
AF-Q9BPI5-F1-model_v4,Q9BPI5
AF-D2Y2C9-F1-model_v4,D2Y2C9
AF-P0CY61-F1-model_v4,P0CY61
AF-B1P1B8-F1-model_v4,B1P1B8
AF-B3FIS3-F1-model_v4,B3FIS3
AF-D2Y264-F1-model_v4,D2Y264
AF-C0JAV3-F1-model_v4,C0JAV3
AF-B6DCM4-F1-model_v4,B6DCM4
AF-P82815-F1-model_v4,P82815
AF-Q9DG84-F1-model_v4,Q9DG84
AF-W4VRW6-F1-model_v4,W4VRW6
AF-A0A0N7HUN6-F1-model_v4,A0A0N7HUN6
AF-P07525-F1-model_v4,P07525
AF-A8HDJ6-F1-model_v4,A8HDJ6
AF-D6MKR0-F1-model_v4,D6MKR0
AF-P0CAS5-F1-model_v4,P0CAS5
AF-P58806-F1-model_v4,P58806
AF-B6DCW5-F1-model_v4,B6DCW5
AF-Q0VTT8-F1-model_v4,Q0VTT8
AF-P84845-F1-model_v4,P84845
AF-P0DM26-F1-model_v4,P0DM26
AF-P86421-F1-model_v4,P86421
AF-P04417-F1-model_v4,P04417
AF-P0DMD6-F1-model_v4,P0DMD6
AF-P0C6R7-F1-model_v4,P0C6R7
AF-B8QG00-F1-model_v4,B8QG00
AF-D6C4I9-F1-model_v4,D6C4I9
AF-Q5K0C0-F1-model_v4,Q5K0C0
AF-C0JB42-F1-model_v4,C0JB42
AF-Q9BPC3-F1-model_v4,Q9BPC3
AF-Q92085-F1-model_v4,Q92085
AF-P0CB14-F1-model_v4,P0CB14
AF-P0DL69-F1-model_v4,P0DL69
AF-Q4VRI5-F1-model_v4,Q4VRI5
AF-D2DGD5-F1-model_v4,D2DGD5
AF-J3S833-F1-model_v4,J3S833
AF-Q9BPJ8-F1-model_v4,Q9BPJ8
AF-B1P1A5-F1-model_v4,B1P1A5
AF-W4VSI8-F1-model_v4,W4VSI8
AF-P0C5F6-F1-model_v4,P0C5F6
AF-P0CG45-F1-model_v4,P0CG45
AF-P83226-F1-model_v4,P83226
AF-P0DSL4-F1-model_v4,P0DSL4
AF-P25678-F1-model_v4,P25678
AF-Q6H3D3-F1-model_v4,Q6H3D3
AF-B6CQR5-F1-model_v4,B6CQR5
AF-P84094-F1-model_v4,P84094
AF-P0DJ43-F1-model_v4,P0DJ43
AF-Q27J49-F1-model_v4,Q27J49
AF-A0A2Z5Z9X0-F1-model_v4,A0A2Z5Z9X0
AF-P0DPX5-F1-model_v4,P0DPX5
AF-P85276-F1-model_v4,P85276
AF-Q8AY48-F1-model_v4,Q8AY48
AF-P0C183-F1-model_v4,P0C183
AF-P0C2S9-F1-model_v4,P0C2S9
AF-P0C1N3-F1-model_v4,P0C1N3
AF-E7CLN5-F1-model_v4,E7CLN5
AF-P0DJK8-F1-model_v4,P0DJK8
AF-Q2ES46-F1-model_v4,Q2ES46
AF-Q3HLQ4-F1-model_v4,Q3HLQ4
AF-P86170-F1-model_v4,P86170
AF-Q68PG5-F1-model_v4,Q68PG5
AF-Q1I179-F1-model_v4,Q1I179
AF-P0DQO0-F1-model_v4,P0DQO0
AF-J3SEZ3-F1-model_v4,J3SEZ3
AF-P86099-F1-model_v4,P86099
AF-Q6X5S4-F1-model_v4,Q6X5S4
AF-H1ZZH7-F1-model_v4,H1ZZH7
AF-Q02517-F1-model_v4,Q02517
AF-P84032-F1-model_v4,P84032
AF-H9KQJ7-F1-model_v4,H9KQJ7
AF-P0CH57-F1-model_v4,P0CH57
AF-Q8AY75-F1-model_v4,Q8AY75
AF-P0DQE6-F1-model_v4,P0DQE6
AF-Q8AYA5-F1-model_v4,Q8AYA5
AF-P0C2P4-F1-model_v4,P0C2P4
AF-Q90WA8-F1-model_v4,Q90WA8
AF-P0DJH5-F1-model_v4,P0DJH5
AF-P0CI83-F1-model_v4,P0CI83
AF-P0CF37-F1-model_v4,P0CF37
AF-P0CI18-F1-model_v4,P0CI18
AF-Q5F1N4-F1-model_v4,Q5F1N4
AF-A0A3G1VU84-F1-model_v4,A0A3G1VU84
AF-E3P6P1-F1-model_v4,E3P6P1
AF-Q5BLY5-F1-model_v4,Q5BLY5
AF-P37300-F1-model_v4,P37300
AF-P13488-F1-model_v4,P13488
AF-A3QVN5-F1-model_v4,A3QVN5
AF-P0CV92-F1-model_v4,P0CV92
AF-D3JXM1-F1-model_v4,D3JXM1
AF-P0DUI4-F1-model_v4,P0DUI4
AF-P10521-F1-model_v4,P10521
AF-P15817-F1-model_v4,P15817
AF-P83476-F1-model_v4,P83476
AF-D2Y1Z4-F1-model_v4,D2Y1Z4
AF-P01440-F1-model_v4,P01440
AF-D2Y2N5-F1-model_v4,D2Y2N5
AF-D8MIA2-F1-model_v4,D8MIA2
AF-C0JB38-F1-model_v4,C0JB38
AF-Q9BPD9-F1-model_v4,Q9BPD9
AF-B2KTG2-F1-model_v4,B2KTG2
AF-P14541-F1-model_v4,P14541
AF-C0HLS2-F1-model_v4,C0HLS2
AF-P0DUS5-F1-model_v4,P0DUS5
AF-P0C607-F1-model_v4,P0C607
AF-Q9BJW4-F1-model_v4,Q9BJW4
AF-P20005-F1-model_v4,P20005
AF-Q9UAC8-F1-model_v4,Q9UAC8
AF-D2Y285-F1-model_v4,D2Y285
AF-C0JAX2-F1-model_v4,C0JAX2
AF-P81509-F1-model_v4,P81509
AF-Q9BH81-F1-model_v4,Q9BH81
AF-W4VS82-F1-model_v4,W4VS82
AF-C0JAQ9-F1-model_v4,C0JAQ9
AF-B6DCY4-F1-model_v4,B6DCY4
AF-A0SE59-F1-model_v4,A0SE59
AF-P0DOZ9-F1-model_v4,P0DOZ9
AF-P86529-F1-model_v4,P86529
AF-P05486-F1-model_v4,P05486
AF-A0A125S9G2-F1-model_v4,A0A125S9G2
AF-P00604-F1-model_v4,P00604
AF-B1P1E2-F1-model_v4,B1P1E2
AF-P59897-F1-model_v4,P59897
AF-D2Y1Y9-F1-model_v4,D2Y1Y9
AF-D2Y2D3-F1-model_v4,D2Y2D3
AF-C0JB05-F1-model_v4,C0JB05
AF-P0DUC2-F1-model_v4,P0DUC2
AF-D2Y2M8-F1-model_v4,D2Y2M8
AF-P0CY80-F1-model_v4,P0CY80
AF-F1CJ89-F1-model_v4,F1CJ89
AF-O73858-F1-model_v4,O73858
AF-X5IY26-F1-model_v4,X5IY26
AF-B6DCS2-F1-model_v4,B6DCS2
AF-P01532-F1-model_v4,P01532
AF-P10453-F1-model_v4,P10453
AF-C6JUP3-F1-model_v4,C6JUP3
AF-P86466-F1-model_v4,P86466
AF-A7X4T8-F1-model_v4,A7X4T8
AF-P0DOC5-F1-model_v4,P0DOC5
AF-P0DM61-F1-model_v4,P0DM61
AF-Q6ITB2-F1-model_v4,Q6ITB2
AF-P82852-F1-model_v4,P82852
AF-A7L036-F1-model_v4,A7L036
AF-Q6T6T5-F1-model_v4,Q6T6T5
AF-P84899-F1-model_v4,P84899
AF-Q5D7H4-F1-model_v4,Q5D7H4
AF-D2Y223-F1-model_v4,D2Y223
AF-P59943-F1-model_v4,P59943
AF-B6DCZ9-F1-model_v4,B6DCZ9
AF-F8RKW5-F1-model_v4,F8RKW5
AF-Q95NJ8-F1-model_v4,Q95NJ8
AF-P01383-F1-model_v4,P01383
AF-P83055-F1-model_v4,P83055
AF-P0CE36-F1-model_v4,P0CE36
AF-P69756-F1-model_v4,P69756
AF-N0EAL3-F1-model_v4,N0EAL3
AF-Q9PS05-F1-model_v4,Q9PS05
AF-E7CLP3-F1-model_v4,E7CLP3
AF-P50985-F1-model_v4,P50985
AF-D2Y492-F1-model_v4,D2Y492
AF-P0CJ19-F1-model_v4,P0CJ19
AF-Q76CA3-F1-model_v4,Q76CA3
AF-P0DP98-F1-model_v4,P0DP98
AF-F1AWB0-F1-model_v4,F1AWB0
AF-A0A7S8RFI7-F1-model_v4,A0A7S8RFI7
AF-A8QL57-F1-model_v4,A8QL57
AF-P86398-F1-model_v4,P86398
AF-P0DKQ1-F1-model_v4,P0DKQ1
AF-Q58L91-F1-model_v4,Q58L91
AF-B1NWU6-F1-model_v4,B1NWU6
AF-P31988-F1-model_v4,P31988
AF-P0DPU9-F1-model_v4,P0DPU9
AF-P0CG02-F1-model_v4,P0CG02
AF-Q90W99-F1-model_v4,Q90W99
AF-P30811-F1-model_v4,P30811
AF-Q6JK69-F1-model_v4,Q6JK69
AF-P58370-F1-model_v4,P58370
AF-P0DJE9-F1-model_v4,P0DJE9
AF-B6DD30-F1-model_v4,B6DD30
AF-P18965-F1-model_v4,P18965
AF-Q2YHJ5-F1-model_v4,Q2YHJ5
AF-B3EWQ0-F1-model_v4,B3EWQ0
AF-Q3HXY2-F1-model_v4,Q3HXY2
AF-S0F215-F1-model_v4,S0F215
AF-P86271-F1-model_v4,P86271
AF-P56973-F1-model_v4,P56973
AF-P0CJ24-F1-model_v4,P0CJ24
AF-P0DQA1-F1-model_v4,P0DQA1
AF-P60267-F1-model_v4,P60267
AF-P83313-F1-model_v4,P83313
AF-B5G6H0-F1-model_v4,B5G6H0
AF-E3P6N7-F1-model_v4,E3P6N7
AF-P0DJL2-F1-model_v4,P0DJL2
AF-C6EVG2-F1-model_v4,C6EVG2
AF-U3KRG1-F1-model_v4,U3KRG1
AF-P0C1Z3-F1-model_v4,P0C1Z3
AF-P56713-F1-model_v4,P56713
AF-C0HJQ8-F1-model_v4,C0HJQ8
AF-Q3YED6-F1-model_v4,Q3YED6
AF-P62383-F1-model_v4,P62383
AF-A0A348G6J1-F1-model_v4,A0A348G6J1
AF-A0A3G3C7U9-F1-model_v4,A0A3G3C7U9
AF-P0DPV4-F1-model_v4,P0DPV4
AF-P0C162-F1-model_v4,P0C162
AF-F5C0A0-F1-model_v4,F5C0A0
AF-P0DJ39-F1-model_v4,P0DJ39
AF-D5KR59-F1-model_v4,D5KR59
AF-P68726-F1-model_v4,P68726
AF-Q6H3C9-F1-model_v4,Q6H3C9
AF-P0CH58-F1-model_v4,P0CH58
AF-P68415-F1-model_v4,P68415
AF-A4USB4-F1-model_v4,A4USB4
AF-P0C251-F1-model_v4,P0C251
AF-P0DJ71-F1-model_v4,P0DJ71
AF-P69943-F1-model_v4,P69943
AF-C0HK45-F1-model_v4,C0HK45
AF-P15221-F1-model_v4,P15221
AF-P58305-F1-model_v4,P58305
AF-B8XH40-F1-model_v4,B8XH40
AF-Q9NII6-F1-model_v4,Q9NII6
AF-O57540-F1-model_v4,O57540
AF-P86096-F1-model_v4,P86096
AF-H1ZZH8-F1-model_v4,H1ZZH8
AF-P19960-F1-model_v4,P19960
AF-P0DI91-F1-model_v4,P0DI91
AF-Q9NDA6-F1-model_v4,Q9NDA6
AF-F5CPE6-F1-model_v4,F5CPE6
AF-P0C1W0-F1-model_v4,P0C1W0
AF-J3SDW8-F1-model_v4,J3SDW8
AF-A0A023VZF1-F1-model_v4,A0A023VZF1
AF-P0CI17-F1-model_v4,P0CI17
AF-B3EWF2-F1-model_v4,B3EWF2
AF-Q7ZZN8-F1-model_v4,Q7ZZN8
AF-P0CF38-F1-model_v4,P0CF38
AF-Q90WA7-F1-model_v4,Q90WA7
AF-P0DQE9-F1-model_v4,P0DQE9
AF-Q8AY47-F1-model_v4,Q8AY47
AF-C0HJE7-F1-model_v4,C0HJE7
AF-Q38L02-F1-model_v4,Q38L02
AF-P49122-F1-model_v4,P49122
AF-A0A0A0VBR5-F1-model_v4,A0A0A0VBR5
AF-P15167-F1-model_v4,P15167
AF-I0DEB3-F1-model_v4,I0DEB3
AF-P40755-F1-model_v4,P40755
AF-S0F1N0-F1-model_v4,S0F1N0
AF-P84000-F1-model_v4,P84000
AF-D9IWN6-F1-model_v4,D9IWN6
AF-P25677-F1-model_v4,P25677
AF-B4XT00-F1-model_v4,B4XT00
AF-P83229-F1-model_v4,P83229
AF-B3EWV5-F1-model_v4,B3EWV5
AF-Q2VBP2-F1-model_v4,Q2VBP2
AF-A8E2V8-F1-model_v4,A8E2V8
AF-D5HR51-F1-model_v4,D5HR51
AF-B6DD45-F1-model_v4,B6DD45
AF-Q1I176-F1-model_v4,Q1I176
AF-P0CF05-F1-model_v4,P0CF05
AF-Q2ES49-F1-model_v4,Q2ES49
AF-P24541-F1-model_v4,P24541
AF-P0C2S6-F1-model_v4,P0C2S6
AF-P60212-F1-model_v4,P60212
AF-P0DTY4-F1-model_v4,P0DTY4
AF-P34073-F1-model_v4,P34073
AF-Q5Y4W1-F1-model_v4,Q5Y4W1
AF-P0DM29-F1-model_v4,P0DM29
AF-Q2I2R2-F1-model_v4,Q2I2R2
AF-P58809-F1-model_v4,P58809
AF-X5ICI2-F1-model_v4,X5ICI2
AF-A8HDJ9-F1-model_v4,A8HDJ9
AF-A0A6B9L3U7-F1-model_v4,A0A6B9L3U7
AF-A0A0B4U9L8-F1-model_v4,A0A0B4U9L8
AF-P0DN52-F1-model_v4,P0DN52
AF-B5L5N3-F1-model_v4,B5L5N3
AF-Q66S21-F1-model_v4,Q66S21
AF-B3FIP1-F1-model_v4,B3FIP1
AF-P0C5F9-F1-model_v4,P0C5F9
AF-W4VSI7-F1-model_v4,W4VSI7
AF-P0DUN1-F1-model_v4,P0DUN1
AF-A0A2P1BSU3-F1-model_v4,A0A2P1BSU3
AF-A0A6G9KHE5-F1-model_v4,A0A6G9KHE5
AF-Q9BPJ7-F1-model_v4,Q9BPJ7
AF-B4XSZ4-F1-model_v4,B4XSZ4
AF-P0DL66-F1-model_v4,P0DL66
AF-C1IBY2-F1-model_v4,C1IBY2
AF-O42256-F1-model_v4,O42256
AF-P14534-F1-model_v4,P14534
AF-P0DUT0-F1-model_v4,P0DUT0
AF-Q71QI0-F1-model_v4,Q71QI0
AF-D2Y2I0-F1-model_v4,D2Y2I0
AF-P80965-F1-model_v4,P80965
AF-P0C6R8-F1-model_v4,P0C6R8
AF-P0DMD9-F1-model_v4,P0DMD9
AF-B1P1H1-F1-model_v4,B1P1H1
AF-D6C4I6-F1-model_v4,D6C4I6
AF-Q9BP61-F1-model_v4,Q9BP61
AF-D2Y3T3-F1-model_v4,D2Y3T3
AF-P0DTZ9-F1-model_v4,P0DTZ9
AF-P0DM14-F1-model_v4,P0DM14
AF-P0C8W5-F1-model_v4,P0C8W5
AF-B6DCT7-F1-model_v4,B6DCT7
AF-B5U6Y8-F1-model_v4,B5U6Y8
AF-A0A023W0V6-F1-model_v4,A0A023W0V6
AF-Q9TXD1-F1-model_v4,Q9TXD1
AF-A0A6G9KJV6-F1-model_v4,A0A6G9KJV6
AF-P59936-F1-model_v4,P59936
AF-P61507-F1-model_v4,P61507
AF-B6DCN6-F1-model_v4,B6DCN6
AF-D2Y256-F1-model_v4,D2Y256
AF-C0JAU1-F1-model_v4,C0JAU1
AF-P85975-F1-model_v4,P85975
AF-B1P1B7-F1-model_v4,B1P1B7
AF-P01408-F1-model_v4,P01408
AF-D2Y2C6-F1-model_v4,D2Y2C6
AF-F1CJ67-F1-model_v4,F1CJ67
AF-B4XSY9-F1-model_v4,B4XSY9
AF-B2CI28-F1-model_v4,B2CI28
AF-P46112-F1-model_v4,P46112
AF-O73799-F1-model_v4,O73799
AF-Q68Y22-F1-model_v4,Q68Y22
AF-P83745-F1-model_v4,P83745
AF-P01493-F1-model_v4,P01493
AF-C0JB70-F1-model_v4,C0JB70
AF-P80958-F1-model_v4,P80958
AF-D3JWK6-F1-model_v4,D3JWK6
AF-P0DQR4-F1-model_v4,P0DQR4
AF-E3P6N8-F1-model_v4,E3P6N8
AF-B0VXV2-F1-model_v4,B0VXV2
AF-P60268-F1-model_v4,P60268
AF-P69764-F1-model_v4,P69764
AF-A0A1E1WVR9-F1-model_v4,A0A1E1WVR9
AF-P58296-F1-model_v4,P58296
AF-P0DQH5-F1-model_v4,P0DQH5
AF-Q7T3T5-F1-model_v4,Q7T3T5
AF-P0CI50-F1-model_v4,P0CI50
AF-Q5YF89-F1-model_v4,Q5YF89
AF-A9XDG1-F1-model_v4,A9XDG1
AF-O13060-F1-model_v4,O13060
AF-Q6H3C6-F1-model_v4,Q6H3C6
AF-P0DJ36-F1-model_v4,P0DJ36
AF-Q5EHP2-F1-model_v4,Q5EHP2
AF-P83253-F1-model_v4,P83253
AF-P0DSK1-F1-model_v4,P0DSK1
AF-P16354-F1-model_v4,P16354
AF-C0HJQ7-F1-model_v4,C0HJQ7
